Rank,Movie_Title,Release_Date,Box_Office,Box_Office_Share,Cumulative_Box_Office,Audience,Cumulative_Audience,Screens,Showings,Main_Nationality,Nationality,Production_Company,Distributor,Rating,Genre,Director,Actors
1,극한직업,2019-01-23,139655537516,0.042,139655537516,16266337,16266338,2003,292815,한국,한국,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",(주)씨제이이엔엠,15세이상관람가,코미디,이병헌,"류승룡,이하늬,진선규,이동휘,공명,양현민,장진희,한준우,김명준,나철,정재광,정원창,김강현,김지영,오정세,이중옥,홍완표,고봉구,권지훈,권태호,김가빈,박재홍,서호철,김남우,박진아,송영규,안성봉,신하균,심철민,김병호,류제윤,김성우,이정수,김의성,김종수,고경진,고관형,이광기,지찬,구성환,이도용,천준호,정성훈,이하늬,이한종,임세운,한동희,임정묵,이범찬,이운산,김천,조주한,조현숙,이유진,정우영,신신애,윤설,정윤회,박도영,정재광,최광원,이두일,김윤배,최신득,이왕수,이육현,박정표,정인기,배정선,장지웅,임유란,엄지혜,오민준,태원석,장격수,편광진,하철,변봉식,홍승진,홍은진,허준석"
2,어벤져스: 엔드게임,2019-04-24,122492181020,0.037,122492181020,13977602,13977602,2835,246433,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,SF","안소니 루소,조 루소","로버트 다우니 주니어,크리스 에반스,마크 러팔로,크리스 헴스워스,스칼렛 요한슨,제레미 레너,돈 치들,폴 러드,브리 라슨,카렌 길런,브래들리 쿠퍼,조슈 브롤린"
3,겨울왕국 2,2019-11-21,114810421450,0.035,114810421450,13747792,13747792,2648,299334,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,"크리스 벅,제니퍼 리","크리스틴 벨,이디나 멘젤,조시 게드,조나단 그로프"
4,알라딘,2019-05-23,106983620359,0.032,106983620359,12555894,12723777,1409,266518,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,"어드벤처,가족,판타지",가이 리치,"메나 마수드,윌 스미스,나오미 스콧"
5,신과함께-인과 연,2018-08-01,102677675409,0.031,102677675409,12276350,12278010,2235,180043,한국,한국,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가,"판타지,드라마",김용화,"하정우,주지훈,김향기,마동석,김동욱,도경수,이준혁,정지훈,김동욱,조한철,장광,이정재,김민종,김기태,오희준,이수봉,이용희,이우주,이우주,이준혁,이지향,이지향,이지혜,김지안,김철구,김태준,안용우,김학충,노남석,장재욱,전종석,박지선,박찬영,정진영,권훈,권수정,김대근,김대현,김민석,안지호,강민,임철수,민무제,강신철,홍기준,정아미,홍인,류제승,최현종,김그림,양지수,강재은,전승재,정진영"
6,기생충,2019-05-30,87458120095,0.026,87458120095,10312812,10313201,1948,206301,한국,한국,(주)바른손이앤에이,(주)씨제이이엔엠,15세이상관람가,드라마,봉준호,"송강호,이선균,조여정,최우식,박소담,이정은,장혜진,박명훈,현승민,정현준,윤혜리,박근록,이시훈,김규백,설민,박가빈,정이서,조재명,정익한,안진상,이루아,김하언,하윤희,이도운,오별하,유인,유채련,정일화,지혜영,지연,최정연,서복현,심수미,장지우,한미자,주수지,강현규,고관재,박서준,곽신애,류영훈,문상근,김건,박재완,서한결,서희영,손지영,박혜숙,백동현,신승민,백승환,안성봉,염재민,오상준,오상준,김성수,김세인,윤영우,정재훈,김이슬,이종현,이주형,제승현,김혜련,김정우,이지혜,황인경,이덕형,이시은,김영조,이도용,김보령,김용각,정세현,이옥희,이상경,정아름,이은희,이인경,박미애,김진형,이시후,박재욱,양선영,장예원,최정현,김성준,최지원,김향배,채하니"
7,보헤미안 랩소디,2018-10-31,86280975785,0.026,86280975785,9948386,9948386,1179,232226,미국,미국,,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",12세이상관람가,드라마,브라이언 싱어,"라미 말렉,조셉 마젤로,마이크 마이어스,루시 보인턴"
8,엑시트,2019-07-31,79233142162,0.024,79233142162,9426161,9426421,1660,202226,한국,한국,"(주)외유내강,(주)필름케이",(주)씨제이이엔엠,12세이상관람가,"코미디,액션",이상근,"조정석,임윤아,고두심,박인환,김지영,강기영,오희준,배유람,유수빈,조성희,주보비,김강현,정민성,박성일,신세휘,김경룡,김강훈,강덕중,강충훈,박상혁,곽민규,민대웅,권혁주,박윤희,박윤희,박정환,박주홍,설도희,배해선,백현익,신철진,양지혜,김병순,오누리,김상보,윤대열,오유진,김서율,김선호,김수연,김현수,김현수,이정인,정재은,임희수,최서현,정지우,최성윤,김형기,이선우,이성수,이성훈,조성동,김호정,조예린,김종구,황슬기,조윤호,전혜원,이찬유,조은성,최재영,최재영,이수정,김주아,강기영,김준수,이경오,주보비,주보비,최진영,고두심,곽새빛,곽호중,권상혁,최현아,권은빈,최혜인,기상원,채서원,김한솔,이동휘,이동희,이랑서,김태한,임종현,이창진,김이석,한우리,이화정,이봉련,김환영,김태환,주예서,김태율,정우영,정새다솜,정윤지,채승혜,슈기(최슬기),천대만,윤해빈,이채원,이재국,이학광,최영도,이현하,박재랑,이용탁,박채익,반혜라,탁트인,손현준,장서우,송원수,변건우,한서율,한승효,황지현,황효은,한윤식,허철,허형규,홍나현,강경수,김보성"
9,백두산,2019-12-19,69825366300,0.021,69825366300,8252669,8252909,1971,174320,한국,한국,"주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠","(주)씨제이이엔엠,(주)덱스터스튜디오",12세이상관람가,"어드벤처,드라마","이해준,김병서","이병헌,하정우,마동석,전혜진,배수지,손성찬,서명찬,양지수,박준영,양대혁,김재철,박지훈,변우석,지화섭,김지민,이정민,허승,차시원,김훈만,손영순,박태산,우진혁,신성일,김세윤,김정현,허지나,김지훈,한창민,남상지,김연교,정윤하,김하라,이은희,이상원,옥자연,한수현,강신철,이경영,조한철,최광일,김시아,임형국,박주환,남성준,김민식,박지홍,서현우,김준원,남문철,박성근,전도연,노종면,이광연,이종원,김경수,나경철,박윤미,염상훈,차해리,김태은,서석규,서문호,장재희,나경진,김효준,김성혁,권수진,임윤비,장근영,서문호,한동훈,오지영,박정숙,홍지아,임수아,권귀덕,김기태,김찬욱,김양원,김시원,김대경,강규현,박범석,이재한,임무빈,장나라,서영재,김통령,최정현,이한결,안구희,최홍락,정상균,이육헌,권혁일,이두원,이창석,장용희,김동빈,김영경,김진문,민병욱,윤슬기,이형주,정진혁,한동훈,백경윤,고한민,허승,양지수,한동훈,서문호,김연교,정한빈"
10,스파이더맨: 파 프롬 홈,2019-07-02,69030020600,0.021,69030020600,8023326,8023606,2142,181024,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,코미디,SF",존 왓츠,"톰 홀랜드,사무엘 L. 잭슨,젠데이아 콜먼,코비 스멀더스,존 파브로,마리사 토메이,제이크 질렌할,제이콥 배덜런"
