w1_au,w2_au,w1_av_sc,w2_av_sc
2364698,2703248,1062.7173857216228,1189.735051870481
3312940,3293441,1560.2893090224047,1501.11257976299
5005375,3713108,1735.7388784305954,1370.0783300827577
3201537,2814863,1154.8961092501931,1265.188198279183
6053085,1993031,2527.9872919276886,951.1328742841556
1829356,1819104,984.9620798400122,1233.8883720930232
2996258,1901895,1409.340545625588,1225.3350207086976
3544785,1375129,1559.714312653215,637.8994698475811
1098259,973735,810.6087094053142,735.9258259555172
2224264,1563042,1208.088764742396,1079.6619301361752
2367281,1432559,1179.5961702733484,803.9696143670328
2096195,1117024,1348.4070023892664,776.712824078673
1830021,1035298,1047.6933834955423,612.3435572454583
2014779,1085799,868.599679743795,662.0148941729815
2136508,764918,1390.1799591002043,678.72049689441
914503,972246,546.4379854886896,767.793546931408
989649,911420,678.2399647542588,669.2478757998531
967483,835851,819.0084653525215,800.842732001095
1680147,693022,1092.321816662023,499.8613086038126
2226799,441319,1100.8964616145208,495.94365066623857
1686770,649769,1025.7484145599865,636.5826452064382
1953256,621702,1003.7286742034944,515.3853623874941
992433,700583,802.3828828828829,714.568118898441
774293,471642,693.8109318996416,444.8253839935328
1223804,574434,493.6115240564679,403.7186746987952
1549239,397309,963.0293046798686,466.4033204762703
1063664,471765,644.1986502855166,386.24035087719307
905472,435865,740.1966600490483,442.7593963140328
585230,631254,550.3237506716821,506.5082530949106
830375,476686,565.7606579715787,336.16784203102964
1512444,253486,1066.8186215235792,249.28378758078117
613512,355748,512.1135225375626,523.3787305590585
963809,643030,572.333135391924,454.0714213658832
925668,348882,512.429893238434,287.61912613355315
1137854,351204,895.948031496063,381.1516279069767
597801,389977,503.7446731672084,389.1431218816821
975633,400851,502.9776844896156,362.2459333849728
1067857,366705,618.9450194584748,499.20945157526256
633262,459102,556.6089904570567,419.544908616188
733722,415189,561.6856955380578,321.92323881258307
711478,326025,557.7095184770436,350.4030400736988
495704,381921,606.418734708144,403.66102974482857
885094,265563,593.7950929653056,367.3796442687747
71801,145191,316.7025834908633,370.5202333211813
363305,304112,300.53592531316474,295.6233856408832
679743,304725,548.7488178987429,377.8028692879915
812259,209979,733.1802707930367,311.14585097375107
735536,125716,621.6797874909442,157.96302279662538
611447,220286,527.6293145956607,262.9159420289855
407822,229242,399.93751751190814,332.9931521062461
571385,244366,525.3079852902548,285.80818713450293
518253,238111,409.963950728896,258.69579388483623
514189,273105,554.8517034068137,317.77509973404256
592782,230847,483.1149144254279,267.09570247933885
359722,210921,436.0266666666666,284.8084490740741
484238,187910,330.34460578890946,239.63745673164516
593479,133767,550.3183203073256,196.098219895288
553546,155049,523.2003780718336,208.63956170703577
311754,263558,287.25523232855073,248.40527803958528
374278,201683,425.3849650917357,321.4437613843351
333478,171459,307.5959942021347,243.3028583012366
495805,155898,346.9594121763471,171.99148936170212
412186,188945,453.87792984112,274.11709844559584
414286,138668,423.3579562043796,195.1892217977076
473534,128889,364.0169119262025,236.99054373522455
479453,123033,396.3357345299953,194.84864253393664
413229,172740,373.14280185758525,215.23317906728371
309036,158324,413.6237093690249,297.20246714936985
395963,128647,614.1681808109905,410.450774840474
63561,37743,419.7424528301887,413.46009389671366
143728,77670,232.35473441108545,201.89008540660973
352995,106525,1076.673202614379,359.8817567567568
268195,197045,340.0407534866872,241.4767156862745
412257,86485,427.3358507330077,172.18287827076225
349938,111946,388.265335235378,165.2862265344864
341577,117610,357.9935619104656,180.58126782189075
286925,117419,289.82323232323233,168.4979499794998
371025,70381,320.6388888888889,156.80044557606624
274790,109037,402.5805776475513,229.4135858130448
188122,123444,369.902808988764,286.6029850746269
301639,89636,326.0962162162162,123.36846244593
261404,110478,302.80125765348333,157.85793018983466
292366,75284,326.3533726678361,157.3568229322186
241144,124651,286.24860098355094,202.21483198146
272554,111735,237.62336530078463,123.36671924290224
240741,132743,355.07522123893807,231.2595818815331
287127,90906,395.6474409448819,195.61696895173685
263102,87273,306.4925944416708,132.98019155420113
273358,92080,300.2520006276479,146.09247506799636
169030,110510,284.0840336134454,263.38781069118147
66821,59400,115.1518956179222,161.78988326848244
170712,84901,260.79965080750765,155.13103628295482
279084,74207,350.92293874618287,114.36569793042712
262489,63317,394.2121862261317,142.69768190598842
144351,121338,235.86764705882356,198.72859148338796
187360,79611,268.8091822094692,129.2686151704941
160614,96568,207.01491438040875,166.82527147087856
229326,63089,307.5252873563219,193.35507880910683
198258,78856,258.4850065189048,129.09073900841906
265637,35101,307.5010749131801,68.51840490797545
