,0,1,2,3,4,5,6
서울의 봄: (대한민국),41,52,59,100,87,71,63
스즈메의 문단속: (대한민국),64,51,57,100,98,60,51
밀수: (대한민국),65,59,66,98,100,75,69
더 퍼스트 슬램덩크: (대한민국),61,52,66,100,91,66,62
노량  죽음의 바다: (대한민국),81,66,79,83,100,90,72
헌트: (대한민국),63,47,56,88,100,81,40
가디언즈 오브 갤럭시 VOL. 3: (대한민국),40,56,70,100,73,40,32
미션 임파서블 7: (대한민국),74,64,61,98,100,51,30
콘크리트 유토피아: (대한민국),64,45,68,100,83,71,64
웡카: (대한민국),77,68,70,85,100,61,41
올빼미: (대한민국),64,59,68,90,100,47,54
파묘: (대한민국),57,71,100,100,73,66,68
영웅: (대한민국),66,71,73,91,100,68,73
오펜하이머: (대한민국),100,56,34,38,49,44,25
쥬라기 월드  도미니언: (대한민국),100,32,49,63,83,50,22
토르  러브 앤 썬더: (대한민국),100,54,58,91,67,32,28
슈퍼 마리오 브라더스: (대한민국),51,40,58,98,100,70,56
미니언즈2: (대한민국),84,42,68,100,95,41,37
30일: (대한민국),94,84,41,65,78,100,91
블랙 팬서  와칸다 포에버: (대한민국),95,0,0,100,72,0,0
비상선언: (대한민국),100,75,70,98,87,40,38
범죄도시4: (대한민국),78,62,63,100,80,54,49
그대들은 어떻게 살 것인가: (대한민국),98,68,73,100,93,60,40
듄  파트2: (대한민국),82,54,100,86,85,31,21
헤어질 결심: (대한민국),71,58,67,92,100,56,54
분노의 질주  라이드 오어 다이: (대한민국),55,88,72,100,88,54,0
쿵푸팬더4: (대한민국),100,49,32,61,51,19,24
교섭: (대한민국),62,49,55,69,96,100,90
시민덕희: (대한민국),41,32,64,100,75,34,37
아바타  물의 길: (대한민국),100,79,41,90,68,52,47
잠: (대한민국),70,77,84,92,100,53,60
위시: (대한민국),74,67,68,100,85,64,47
브로커: (대한민국),70,67,65,100,96,47,32
오늘 밤: (대한민국),48,38,63,96,100,48,63
건국전쟁: (대한민국),10,19,77,100,65,50,49
인생은 아름다워: (대한민국),81,56,63,72,100,74,78
범죄도시3: (대한민국),65,68,69,100,94,74,87
드림: (대한민국),100,89,90,87,84,93,80
비공식작전: (대한민국),57,68,69,100,66,46,35
1947 보스톤: (대한민국),35,100,81,54,64,0,48
댓글부대: (대한민국),75,60,67,100,73,37,25
스파이더맨  어크로스 더 유니버스: (대한민국),88,67,74,100,88,51,42
데시벨: (대한민국),38,69,56,100,55,47,36
정직한 후보2: (대한민국),65,90,49,100,84,0,0
혹성탈출  새로운 시대: (대한민국),60,67,87,96,100,47,47
탑건  매버릭: (대한민국),58,56,60,100,98,51,41
극장판 짱구는 못말려  수수께끼  꽃피는 천하떡잎학교: (대한민국),100,0,0,0,0,0,0
장화신은 고양이  끝내주는 모험: (대한민국),0,0,0,0,0,0,100
명탐정코난  흑철의 어영: (대한민국),86,80,99,100,60,68,56
블랙 아담: (대한민국),100,74,71,94,82,54,44
트랜스포머  비스트의 서막: (대한민국),100,26,23,25,34,57,23
대외비: (대한민국),100,32,71,84,64,41,38
자백: (대한민국),57,83,88,92,94,100,65
그녀가 죽었다: (대한민국),100,64,66,90,87,57,54
한산  용의 출현: (대한민국),75,52,66,93,100,74,53
프레디의 피자가게: (대한민국),58,64,61,100,67,50,42
리바운드: (대한민국),38,48,58,100,68,34,51
더 마블스: (대한민국),100,49,49,54,36,17,38
귀공자: (대한민국),100,73,84,80,74,52,74
유령: (대한민국),62,56,84,69,93,100,62
