,1,2,3,4,5,6,7
서울의 봄,55.50419,73.67073,79.25816,97.88595,100.0,88.93493,72.35861
파묘,67.49954,82.78116,100.0,95.7435,78.13019,54.66054,51.43671
범죄도시4,100.0,84.14176,70.42814,78.8861,72.4446,50.76426,42.00864
아바타: 물의 길,84.31055,82.30668,81.87475,100.0,85.7053,57.97047,53.22427
범죄도시3,95.40589,93.4583,83.45108,100.0,97.40395,75.90528,73.95812
탑건: 매버릭,47.76435,70.3333,80.55213,100.0,92.6362,63.51917,55.09826
한산: 용의 출현,76.60501,75.02815,81.71676,100.0,97.71479,73.24882,62.14314
엘리멘탈,49.90673,68.48297,74.45884,100.0,97.14156,80.64853,67.95646
공조2: 인터내셔날,44.95568,61.63098,85.55714,97.21992,100.0,80.01477,39.67805
스즈메의 문단속,66.4819,66.54868,65.67709,99.90881,100.0,62.07442,52.15665
밀수,69.10096,78.07228,77.95637,100.0,88.78508,72.55591,61.71737
더 퍼스트 슬램덩크,53.25899,74.34258,74.90622,100.0,86.17163,61.77221,56.7668
노량: 죽음의 바다,44.5216,64.09829,67.6314,85.33429,100.0,82.11739,43.53888
헌트,54.15481,61.53569,60.67855,78.7069,100.0,80.4856,46.10899
가디언즈 오브 갤럭시: Volume 3,43.59502,71.45174,100.0,73.36831,55.59416,35.27559,28.70895
미션 임파서블: 데드 레코닝 PART ONE,29.84272,52.62221,66.76301,100.0,89.0094,40.91445,33.42786
콘크리트 유토피아,86.39892,89.60977,88.56044,100.0,89.0787,75.19782,72.18696
웡카,75.76745,83.01571,77.02068,100.0,93.0613,65.10069,49.8299
올빼미,54.58623,57.09637,74.73146,100.0,94.99462,58.07248,58.52794
영웅,62.48215,72.18808,74.57641,100.0,95.56484,68.39014,57.08114
오펜하이머,100.0,75.96485,47.88505,47.40836,57.22559,47.58404,33.42584
쥬라기 월드: 도미니언,100.0,63.81119,65.50343,84.50094,92.01519,70.02542,33.57357
마녀(魔女) Part2. The Other One,38.00357,72.37239,80.6595,100.0,83.38537,58.38886,48.82331
토르: 러브 앤 썬더,73.45729,77.01659,76.66532,100.0,90.40329,52.58151,43.07567
슈퍼 마리오 브라더스,38.87883,54.83606,63.87535,91.17888,100.0,78.61176,54.39895
미니언즈2,74.10996,76.86327,78.85553,100.0,94.20356,64.44669,58.92537
30일,74.38101,63.85742,53.65199,61.51196,74.03699,100.0,82.00159
블랙 팬서: 와칸다 포에버,67.71521,67.33734,69.37357,100.0,80.71714,45.96353,40.6221
비상선언,96.52671,100.0,88.14752,91.3236,73.57529,50.8776,38.50106
그대들은 어떻게 살 것인가,100.0,95.10975,84.78338,97.58616,86.11611,59.32027,46.89871
듄: 파트2,59.47599,85.27287,100.0,84.0327,60.10776,41.04356,35.38566
육사오(6/45),56.80107,55.99733,73.58426,100.0,88.6788,72.09362,75.51416
존 윅 4,73.86113,79.36647,74.84138,100.0,88.01564,56.43253,46.59675
천박사 퇴마 연구소: 설경의 비밀,54.39489,90.56454,100.0,96.17087,79.74003,71.08514,51.71793
헤어질 결심,79.77385,87.34505,84.86067,100.0,93.07067,78.47386,69.85322
분노의 질주: 라이드 오어 다이,61.46216,72.08416,79.75611,100.0,84.0031,52.67219,46.06549
쿵푸팬더4,100.0,53.17659,54.00778,70.86214,55.51353,33.73411,26.29053
교섭,53.00934,63.45611,69.57795,82.12209,97.00593,100.0,76.26167
시민덕희,58.87173,66.0944,75.01622,100.0,87.75256,57.91016,50.79507
앤트맨과 와스프: 퀀텀매니아,80.9493,74.78395,74.79541,100.0,79.75908,49.20174,43.7551
외계+인 1부,64.67847,76.30586,79.56502,100.0,89.65588,60.77891,54.14576
잠,58.31183,75.25955,80.952,100.0,90.37794,61.20781,48.58399
외계+인 2부,66.13864,78.88549,78.24014,100.0,88.25376,51.21147,46.96678
위시,61.58326,79.69105,84.58378,100.0,85.96106,53.47371,48.18168
달짝지근해: 7510,92.27279,93.94674,79.54944,80.86524,100.0,89.30594,62.41269
브로커,82.93962,91.5122,82.62876,100.0,90.44025,59.17213,43.39345
"오늘 밤, 세계에서 이 사랑이 사라진다 해도",58.5841,66.39518,72.65825,90.20508,100.0,80.20903,90.39045
건국전쟁,12.15369,19.89635,29.75734,53.24074,59.88432,100.0,98.60988
인생은 아름다워,63.41105,72.53871,68.808,84.05922,100.0,96.0453,59.89583
드림,72.19391,86.02286,83.02259,100.0,88.42885,64.45402,43.62341
비공식작전,77.29542,85.47594,86.78021,100.0,85.55882,57.31527,45.32605
1947 보스톤,57.17382,93.48269,100.0,93.58017,75.51103,66.92605,45.05098
댓글부대,87.15022,97.97418,84.68889,100.0,76.62187,47.50997,37.46878
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,47.5737,82.97731,100.0,84.57918,45.03554,35.00075,33.24363
스파이더맨: 어크로스 더 유니버스,59.75454,78.88028,75.5355,100.0,87.97714,57.33453,45.56239
데시벨,69.32062,85.01867,84.5526,100.0,91.75856,57.93831,48.40441
정직한 후보2,68.15014,89.26798,82.46179,92.7969,100.0,86.52284,45.65441
아쿠아맨과 로스트 킹덤,72.82577,71.25137,68.6598,88.43404,100.0,82.03616,38.39031
혹성탈출: 새로운 시대,46.70577,59.6219,68.2259,100.0,82.10047,51.10159,58.68284
인디아나 존스: 운명의 다이얼,59.61262,70.47987,81.1245,100.0,73.70155,45.77576,39.57585
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,34.64315,42.02609,49.9239,76.81983,100.0,89.39025,43.76011
장화신은 고양이: 끝내주는 모험,57.32084,75.19608,75.5862,100.0,84.59456,51.1985,46.10777
명탐정코난: 흑철의 어영,68.37058,100.0,89.85267,77.47269,55.45085,45.8763,41.38303
블랙 아담,75.10852,74.90179,80.25068,100.0,82.14705,49.87431,42.96041
트랜스포머: 비스트의 서막,100.0,58.12365,64.96506,74.13142,93.3771,81.7177,50.08247
대외비,100.0,72.47257,68.9773,82.48445,68.31978,38.85317,31.13641
자백,53.24456,61.55303,77.34301,100.0,78.6516,58.77551,51.2699
그녀가 죽었다,100.0,71.65343,73.14334,92.95891,88.72008,62.48308,56.25496
극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,54.46831,100.0,70.31018,52.94117,28.80307,23.60576,21.77968
프레디의 피자가게,51.7644,77.23932,77.46131,100.0,85.09509,55.96823,41.68977
리바운드,63.43455,68.68538,68.00585,100.0,90.29174,56.89456,48.48945
더 마블스,100.0,86.58613,81.45758,94.76349,76.47638,48.66193,43.21898
귀공자,83.02956,93.68237,92.94656,100.0,94.65428,68.98739,59.74005
유령,66.59034,79.27332,81.85842,85.99519,99.175,100.0,77.1313
인어공주,100.0,94.17408,83.94388,90.28595,82.98504,67.54869,64.4574
플래시,89.73415,83.65403,85.95482,100.0,85.42856,57.92813,46.25689
퓨리오사: 매드맥스 사가,49.29151,69.14628,77.4872,100.0,90.41125,58.44652,48.66685
압꾸정,100.0,85.02663,72.02944,94.63896,86.4375,48.11898,45.16211
바비,99.37797,100.0,88.68441,91.39587,83.39901,79.74989,59.21646
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,95.62917,43.39532,51.3859,79.93264,100.0,75.81515,28.21143
남은 인생 10년,49.04997,63.35992,71.38276,100.0,97.45071,84.04308,50.75657
괴물,53.46299,77.84475,82.30477,100.0,85.16324,64.78126,67.23088
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",44.79907,76.95346,100.0,68.65179,36.63206,30.19066,31.2394
3일의 휴가,66.43193,88.23431,93.43096,100.0,86.9194,69.20786,60.20426
더 문,93.42782,100.0,85.05821,92.35294,78.53267,65.84944,50.85961
고질라 X 콩: 뉴 엠파이어,61.03926,70.37274,75.89208,100.0,74.84592,40.13513,34.23699
극장판 하이큐!! 쓰레기장의 결전,100.0,60.72661,55.01456,75.3911,58.3397,35.50807,31.39969
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",62.05538,93.44593,83.99069,100.0,89.17797,61.38501,53.89371
명탐정 코난: 할로윈의 신부,56.47508,73.09816,76.98343,100.0,89.48427,61.42892,58.07792
동감,96.13013,99.59426,85.66706,100.0,91.93943,57.28442,45.50215
소년들,60.96625,66.36262,80.89498,100.0,85.30541,55.27005,45.17936
늑대사냥,100.0,96.81323,81.57175,79.37633,68.32477,46.07625,34.69351
뽀로로 극장판 드래곤캐슬 대모험,72.22427,87.02508,95.22085,100.0,84.80726,71.31593,59.95481
신비아파트 극장판 차원도깨비와 7개의 세계,45.30445,51.35604,67.98993,100.0,94.86497,51.75215,43.98311
타겟,57.32147,69.63174,76.53081,100.0,90.94465,57.46465,50.03579
스위치,60.90752,73.0637,77.72465,100.0,78.35772,50.34324,42.25912
놉,90.26416,89.09047,84.42109,100.0,83.98494,53.96372,49.1596
서치 2,71.96896,71.66777,77.68174,100.0,87.04391,58.82753,63.69852
리멤버,68.9181,92.4884,88.3256,100.0,75.99279,53.40436,43.70444
트롤: 밴드 투게더,34.57225,49.65898,60.39883,89.08873,100.0,76.46696,28.12496
인시디어스: 빨간 문,79.88575,83.84921,86.25199,100.0,88.93019,58.65965,48.96691
싱글 인 서울,73.96282,74.72081,75.17966,100.0,87.4932,64.21024,55.57844
카운트,63.22757,74.47733,81.82189,100.0,85.7615,56.95235,59.69376
뽀로로 극장판 슈퍼스타 대모험,45.76271,52.84946,67.74936,98.93403,100.0,53.61424,37.09324
에브리씽 에브리웨어 올 앳 원스,46.85096,55.20846,63.6762,94.68741,100.0,77.84991,77.32995
상견니,90.25868,100.0,92.6551,99.46525,91.4871,68.62547,64.84996
도그데이즈,47.63784,68.60938,77.37103,100.0,97.3339,69.40894,42.79557
더 넌 2,73.60846,100.0,89.5378,90.59894,77.2647,79.22268,55.83449
탄생,68.89489,69.72641,75.11816,100.0,82.1817,50.34886,52.39202
소풍,43.78808,92.74447,90.57681,100.0,84.64915,66.54033,42.55702
인투 더 월드,63.90112,72.29152,77.13254,100.0,87.87444,48.17488,46.23918
버즈 라이트이어,66.19802,61.67994,73.52936,100.0,87.50768,47.41772,37.00782
웅남이,82.90548,100.0,84.54976,89.8702,81.50524,63.01705,51.03584
거미집,71.27422,100.0,96.91288,89.6259,69.51455,55.97125,38.07203
던전 앤 드래곤: 도적들의 명예,51.90456,63.43537,75.45252,100.0,76.8976,48.93085,46.98949
극장판 스파이 패밀리 코드 : 화이트,52.2895,63.35026,70.73256,100.0,80.74233,41.69173,35.71205
용감한 시민,67.02439,90.81134,91.57491,100.0,82.49576,54.44698,48.79741
화란,74.85742,85.45832,83.27161,100.0,86.95378,57.3594,48.13237
크리에이터,100.0,71.14004,55.12649,59.34476,69.67291,94.35164,63.25076
옥수역귀신,64.01933,56.54503,72.47971,100.0,90.7511,64.43807,56.5258
가필드 더 무비,100.0,32.82917,37.63772,60.98935,48.79551,17.21176,14.8162
아임 히어로 더 파이널,77.86812,74.86056,85.48605,100.0,80.8835,45.32447,43.82851
DC 리그 오브 슈퍼-펫,58.90669,61.21298,66.52332,93.13387,100.0,81.43407,40.04462
데드맨,61.7934,91.17643,100.0,90.73051,80.41898,54.72236,32.679
소울메이트,51.98287,69.77227,80.3816,100.0,87.52583,55.09062,47.52014
극장판 헬로카봇: 수상한 마술단의 비밀,36.24742,41.82394,54.52715,86.47138,100.0,94.94186,24.90814
메간,62.03538,70.2381,74.6164,100.0,76.15626,48.76339,49.25035
아바타 리마스터링,45.86059,69.36011,79.37996,100.0,91.86567,61.42426,52.71991
나폴레옹,77.35659,89.814,87.66815,100.0,84.49411,62.62525,54.46328
젠틀맨,71.10829,88.07741,98.44341,100.0,83.0734,49.37449,39.18155
극장판 뽀로로와 친구들: 바이러스를 없애줘!,34.26871,55.88251,72.69749,100.0,52.19195,33.4225,34.30692
스턴트맨,75.40627,66.80513,73.07109,82.63493,100.0,66.70689,43.01832
바빌론,57.14943,68.17734,82.09204,100.0,81.66648,48.11269,42.10485
원피스 필름 레드,100.0,90.79733,74.31557,92.46322,88.58032,49.25204,44.20069
베니스 유령 살인사건,57.98054,65.81623,76.0314,100.0,76.14395,43.49855,37.56085
브레드이발소: 셀럽 인 베이커리타운,98.20089,100.0,68.35305,31.89404,22.31326,21.96211,20.96067
멍뭉이,100.0,72.01165,76.17047,92.93312,77.83318,50.40314,35.54712
킬링 로맨스,70.96065,100.0,75.5756,50.95243,46.67035,42.81276,41.59114
톡 투 미,43.42731,59.05123,74.1524,100.0,86.84562,50.12843,47.20974
헝거게임: 노래하는 새와 뱀의 발라드,68.70687,85.92625,85.2536,100.0,72.85901,48.39008,43.73346
오멘: 저주의 시작,47.34973,57.59075,73.99614,100.0,77.48774,42.25797,60.39978
오펀: 천사의 탄생,50.65053,65.58598,81.25524,100.0,77.76775,48.21994,44.97789
극장판 엄마 까투리: 도시로 간 까투리 가족,44.76297,76.19398,86.83598,100.0,88.82177,40.21095,24.18903
퍼피 구조대: 더 마이티 무비,38.08776,70.62342,100.0,75.16506,32.17086,21.97132,21.85459
플라워 킬링 문,49.38352,81.72514,100.0,75.9034,52.9375,43.69105,40.73437
가문의 영광: 리턴즈,49.13443,81.42058,100.0,80.68683,53.61166,57.79451,65.81047
마루이 비디오,95.90349,91.98204,84.81183,100.0,91.27542,65.40195,59.91448
"포켓몬스터: 성도지방 이야기, 최종장",46.36838,31.65871,40.70211,66.38467,100.0,58.50618,21.65396
가여운 것들,52.48738,70.97628,84.97106,100.0,76.21853,88.56079,67.85662
불릿 트레인,100.0,80.56393,84.1581,93.26669,71.49071,50.39371,46.02744
