(주)넥스트엔터테인먼트월드(NEW), A
(주)누리픽쳐스, D
(주)대교 미디어콘텐츠사업본부, D
(주)디스테이션, C
(주)라이크콘텐츠, D
(주)레드아이스 엔터테인먼트, D
(주)마인드마크, D
(주)명필름, D
(주)무비다이브, D
(주)미디어캐슬, C
(주)바른손이앤에이, D
(주)바이포엠스튜디오, D
(주)박수엔터테인먼트, C
(주)버킷스튜디오, D
(주)블루라벨픽쳐스, D
(주)쇼박스, A
(주)스마일이엔티 B
(주)스튜디오 산타클로스엔터테인먼트, D
(주)스튜디오디에이치엘, D
(주)시네마6411, D
(주)시네마달, D
(주)싸이더스, B
(주)씨네필운, D
(주)씨제이이엔엠, A
(주)아센디오, D
(주)아이오케이컴퍼니, D
(주)애니플러스, C
(주)에이스메이커무비웍스, B
(주)엣나인필름, B
(주)영화사 그램, D
(주)영화사 안다미로, D
(주)영화사 진진, C
(주)영화특별시에스엠씨, D
(주)올스타엔터테인먼트, C
(주)이놀미디어,D
(주)제이앤씨미디어그룹, D
(주)케이티알파, D
(주)콘텐츠지오, D
(주)키다리스튜디오, B
(주)티캐스트, C
(주)팝엔터테인먼트, C
(주)플레이그램, D
(주)하이스트레인저, D
(주)홈초이스, D
CGV ICECON, A
M&M 인터내셔널, C
TCO(주)더콘텐츠온, C
그린나래미디어(주), C
다큐스토리, D
더핑크퐁컴퍼니(주), D
롯데컬처웍스(주)롯데시네마, A
롯데컬처웍스(주)롯데엔터테인먼트, A
롯데컬처웍스(주)롯시플, A
리바이브콘텐츠 주식회사, D
메가박스중앙(주), A
미디어나무(주), D
소니픽쳐스엔터테인먼트코리아주식회사극장배급지점, A
스튜디오 에이드, D
스튜디오두마, D
씨제이 씨지브이(CJ CGV)(주), A
씨제이포디플렉스 주식회사, A
에스엠지홀딩스 주식회사, D
오드, C
와이드 릴리즈(주), C
워너브러더스 코리아(주), A
워터홀컴퍼니(주), C
월트디즈니컴퍼니코리아 유한책임회사, A
유니버설픽쳐스인터내셔널 코리아(유), B
유한회사 엠프로젝트, D
주식회사 블루필름웍스, D
주식회사 에이비오엔터테인먼트, D
주식회사 에이투지엔터테인먼트, D
주식회사 올랄라스토리, D
주식회사 왓챠, C
주식회사 필름영, C
찬란, C
트윈플러스파트너스(주), D
판씨네마(주), B
플러스엠 엔터테인먼트, A
홀리가든, D
