날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
2024-03-14,1,0.0%,1,0%,247,0.0%,100.0%,2223000,2223000 ( 100.0% ),247,247 ( 100.0% ),2223000,247,29
2024-03-15,3,0.0%,3,0%,872,0.0%,99.1%,8640000,6417000 ( 288.7% ),864,617 ( 249.8% ),10863000,1111,16
2024-03-22,10,0.2%,10,0.1%,2928,0.1%,100.0%,27108000,27108000 ( 100.0% ),2928,2928 ( 100.0% ),37971000,4039,7
2024-03-27,1217,19.1%,4787,29.4%,678255,29.8%,18.8%,977691042,977691042 ( 100.0% ),127677,127677 ( 100.0% ),1015662042,131716,1
2024-03-28,1183,18.8%,4717,29.7%,679120,30.5%,9.3%,586267505,-391423537 ( -40.0% ),62825,-64852 ( -50.8% ),1601929547,194541,2
2024-03-29,1228,18.9%,4907,29.5%,704054,30.3%,11.1%,767608953,181341448 ( 30.9% ),78083,15258 ( 24.3% ),2369538500,272624,2
2024-03-30,1189,16.6%,5069,27.9%,731435,29.1%,19.9%,1441668512,674059559 ( 87.8% ),145404,67321 ( 86.2% ),3811207012,418028,2
2024-03-31,1178,16.6%,4780,27.3%,689760,28.6%,17.8%,1231055101,-210613411 ( -14.6% ),123019,-22385 ( -15.4% ),5042262113,541047,2
2024-04-01,1058,18.4%,4091,28.2%,587855,28.5%,6.7%,379006927,-852048174 ( -69.2% ),39333,-83686 ( -68.0% ),5421269040,580380,2
2024-04-02,1059,18.2%,3996,28.1%,569584,28.2%,5.5%,289019181,-89987746 ( -23.7% ),31067,-8266 ( -21.0% ),5710288221,611447,2
2024-04-03,824,11.7%,2737,17.6%,368555,16.9%,7.9%,270664942,-18354239 ( -6.4% ),29061,-2006 ( -6.5% ),5980953163,640508,2
2024-04-04,834,12.0%,2652,17.7%,356103,17.0%,6.1%,201811416,-68853526 ( -25.4% ),21705,-7356 ( -25.3% ),6182764579,662213,2
2024-04-05,876,12.0%,2838,17.7%,388511,17.2%,8.9%,346897051,145085635 ( 71.9% ),34498,12793 ( 58.9% ),6529661630,696711,2
2024-04-06,885,11.3%,3047,17%,416658,16.8%,13.6%,555427822,208530771 ( 60.1% ),56547,22049 ( 63.9% ),7085089452,753258,2
