Unnamed: 0,1,2,3,4,5,6,7
period,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28
파벨만스,53.62419,60.61836,74.75527,75.60018635864003,55.44261639028633,52.90612,48.71325
period,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24
엑소시스트: 믿는 자,53.58088,66.63497,70.99131,75.60018635864003,56.726660566614896,44.24561,34.69037
period,2024-04-24,2024-04-25,2024-04-26,2024-04-27,2024-04-28,2024-04-29,2024-04-30
챌린저스,67.18599,90.35105,94.29423,67.83151863995425,82.89105777034366,90.91227,100.0
period,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21
샤잠! 신들의 분노,68.00399,78.27349,80.58376,75.60018635864003,55.34328467098544,41.68655,34.88707
period,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24
치킨래빗: 잃어버린 보물을 찾아서,75.60018635864003,70.13469110763955,34.17157,28.27111,30.65487,30.31434,45.6516
period,2023-07-05,2023-07-06,2023-07-07,2023-07-08,2023-07-09,2023-07-10,2023-07-11
보 이즈 어프레이드,53.77685,61.11548,55.07383,75.60018635864003,25.423107360783327,45.19369,36.11613
period,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,2024-01-01,2024-01-02
도티와 영원의 탑,63.07378,67.50217,77.60321,71.92193110514376,91.71449075599527,87.32947,42.09216
period,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19
쏘우 X,71.83176,85.44549,91.51317,75.60018635864003,69.00715823128392,54.38662,49.37869
period,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24
익스펜더블 4,84.50743,99.00015,93.993,75.60018635864003,53.34764691555178,41.72298,35.5669
period,2022-11-30,2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06
본즈 앤 올,100.0,91.68885,79.10785,54.40195868239428,78.97726034574052,61.27907,57.37917
