Movie_Title,Distributor,Release_Date,Nationality,Director,Actors,Screens,Cumulative_Audience,Genre
엘리멘탈,월트디즈니컴퍼니코리아 유한책임회사,2023-06-14,미국,피터 손,,1664.0,7240510.0,애니메이션
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),2023-01-04,일본,이노우에 다케히코,,1060.0,4877994.0,애니메이션
슈퍼 마리오 브라더스,유니버설픽쳐스인터내셔널 코리아(유),2023-04-26,미국,,"크리스 프랫,안야 테일러 조이,잭 블랙,찰리 데이",1576.0,2395519.0,"애니메이션,어드벤처,코미디"
건국전쟁,다큐스토리,2024-02-01,한국,김덕영,,956.0,1173337.0,다큐멘터리
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,(주)씨제이이엔엠,2023-12-22,일본,오네 히토시,,883.0,945457.0,애니메이션
극장판 짱구는 못말려: 수수께끼! 꽃피는 천하떡잎학교,(주)씨제이이엔엠,2022-09-28,일본,타카하시 와타루,,873.0,837755.0,애니메이션
명탐정코난: 흑철의 어영,(주)씨제이이엔엠,2023-07-20,일본,타치카와 유즈루,,1030.0,801511.0,애니메이션
극장판 짱구는 못말려: 동물소환 닌자 배꼽수비대,(주)씨제이이엔엠,2023-05-04,일본,하시모토 마사카즈,,844.0,732188.0,애니메이션
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",씨제이 씨지브이(CJ CGV)(주),2024-02-14,일본,소토자키 하루오,,393.0,497320.0,애니메이션
명탐정 코난: 할로윈의 신부,(주)씨제이이엔엠,2022-07-13,일본,미츠나카 스스무,,758.0,495842.0,애니메이션
던전 앤 드래곤: 도적들의 명예,롯데컬처웍스(주)롯데엔터테인먼트,2023-03-29,미국,,"크리스 파인,미셸 로드리게즈,레게-장 페이지,저스티스 스미스,소피아 릴리스,휴 그랜트",1105.0,293760.0,"액션,어드벤처,판타지"
원피스 필름 레드,(주)넥스트엔터테인먼트월드(NEW),2022-11-30,일본,타니구치 고로,,550.0,206770.0,애니메이션
톡 투 미,"주식회사 올랄라스토리,롯데컬처웍스(주)롯데시네마",2023-11-01,"호주,영국","대니 필리푸,마이클 필리푸",,604.0,186426.0,공포(호러)
"포켓몬스터: 성도지방 이야기, 최종장",롯데컬처웍스(주)롯데엔터테인먼트,2024-05-01,일본,유야마 쿠니히코,,710.0,157102.0,애니메이션
눈의 여왕5: 스노우 프린세스와 미러랜드의 비밀,메가박스중앙(주),2022-12-22,기타,알렉세이 트시칠린,,626.0,141354.0,애니메이션
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,(주)넥스트엔터테인먼트월드(NEW),2023-09-28,일본,,,601.0,141025.0,애니메이션
두다다쿵: 후후섬의 비밀,(주)넥스트엔터테인먼트월드(NEW),2023-02-15,한국,"최병선,김지윤",,514.0,125978.0,애니메이션
그란 투리스모,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-09-20,미국,,,883.0,120125.0,액션
말하고 싶은 비밀,"(주)바이포엠스튜디오,홀리가든",2023-12-13,일본,,사쿠라다 히요리,401.0,118928.0,멜로/로맨스
문재인입니다,유한회사 엠프로젝트,2023-05-10,한국,이창재,,602.0,116959.0,다큐멘터리
아기상어 극장판: 사이렌 스톤의 비밀,(주)넥스트엔터테인먼트월드(NEW),2024-02-07,미국,,"장예나,전태열,이희승(엔하이픈),박종성(엔하이픈),심재윤(엔하이픈),박성훈(엔하이픈,김선우(엔하이픈),양정원(엔하이픈),니시무라 리키(엔하이픈),김보민,이채린(CL),정재헌,김보나,김은아,윤은서,이상호",578.0,105010.0,애니메이션
극장판 엉덩이 탐정: 수플레 섬의 비밀,(주)넥스트엔터테인먼트월드(NEW),2022-05-05,일본,자코 아키후미,,770.0,148639.0,애니메이션
로스트 시티,롯데컬처웍스(주)롯데엔터테인먼트,2022-04-20,미국,,"산드라 블록,채닝 테이텀,다니엘 래드클리프,브래드 피트",835.0,106105.0,"액션,코미디,멜로/로맨스,어드벤처"
