Rating ID,Movie Code,Rating Point Type,Writer ID,Report Title,Report Time,Rating
15737882,161967,after,cank****,나 또한 누군가의 사람 사는 냄새에 얼굴 찌푸리진 않았었나.. ,20190530 15:11,8
15740741,161967,after,math****,"누군가는 집을 잃고 모든 재산을 잃는 어마어마한 홍수가,누구에게는 그저 그 다음날 미세먼지가 없게 해주는, 집의 정원을 운치있게 만들어주는 장치일 뿐.. ",20190530 21:57,0
15735968,161967,after,fast****,"시나리오, 연출, 배우 모두 좋았다.소름끼치게... ",20190530 10:52,0
15735998,161967,after,toda****,자조적인 웃음과 눈물이 난다. 영화가 끝나고도 이어지는 씁쓸한 뒷맛.. ,20190530 10:59,0
15741346,161967,after,mkor****,인터폰에 이정은이 등장한 순간부터 장르가 바뀐다 ,20190530 22:55,0
15744233,161967,after,wow9****,"특별히 미워하고 증오할만한 '악인'이 한명도 없기에 더욱 답답하고 우울했던 영화, 세상의 불평등 자체가 인간의 본성에 의한 숙명이라고 말하는것 같았기에... ",20190531 07:22,0
15738761,161967,after,thdt****,말이 필요없는 영화 모두 꼭 한번쯤은 봐야할법한 영화입니다. 그리고 조여정이 개인적으로 크게 한껀 한것같습니다 ,20190530 17:16,0
15739133,161967,after,song****,금방 보고 나왔는데...봉준호감독 영화인데 왜 박찬욱감독 영화를 본 느낌이지.어쨌든 최고다. 봉드로 역시 천재!!이정은님 연기상 줘야한다 진짜 ,20190530 18:08,0
15736797,161967,after,kolp****,충격과 공포 절대 스포당하지 마세요. ,20190530 12:47,0
15743351,161967,after,happ****,영화가 끝나고 집으로 돌아왔다. 지하철을 타고. ,20190531 01:56,0
15750442,161967,after,cath****,"다수의 관객들이 '나는 박사장의 계층도, 기택의 반지하 계층에도 들지는 않는다'고 안도할 수 있을까요? 우리는 모두 나보다 낮은 계층의 사람들을 향해 냄새가 난다고 속으로 깔보는 두 얼굴을 가진 건 아닐까요? ... 영화 정말 훌륭합니다. ",20190601 02:46,0
15738818,161967,after,dydf****,노플랜 노계획 우리인생은 계획대로 안된다는 말이 와닿았습니다 ,20190530 17:21,0
15736455,161967,after,kkbb****,인정하기 싫지만 현대의 계급 사회를 조명. ,20190530 12:03,9
15743335,161967,after,sis0****,"마지막 기우의 ""아버지, 전 계획을 세웠습니다.""하는 대사가 오래도록여운에 남을 것 같습니다. 계획 없이 사는 아버지와 식구들. 그 속에서 나름대로 나은 미래를 계획하는 기우. 시대의 초상을 적나라하고도 세련되게 담아주신 역작. 감사히 잘 보았습니다. ",20190531 01:54,0
15753698,161967,after,moon****,가진 자들은 가지지 못한 자들에 대해 예의라는 거리 두기. 실은 경멸과 두려움. 가지지 못한 자들은 가진 자들에 대한 존경이라는 다가가기. 실은 비아냥과 질투. 계층간의 불쾌한 술래잡기. ,20190601 17:44,0
15736451,161967,after,rlar****,보는 내내 제목을 너무 잘 지었다는 생각이 들었다. 좋았던 영화 ,20190530 12:02,9
15736345,161967,after,inee****,조조관람 후 내내 가슴이 아프네요 우리의 현실 ...너무 어려운 질문을 던져주신 봉 감독님 ,20190530 11:50,0
15741298,161967,after,dkfk****,근데이게왜15세?ㄷㄷ19걸어야됨 ,20190530 22:52,8
15741858,161967,after,tjdd****,누구나 기분나쁜영화. ,20190530 23:35,0
15904465,161967,after,knew****,"이게 계급사회의 현실을 반영한 영화라고?  충분히 일 할 수 있는 상황에서 무력하게 걱정만 하고 지내다 사기와 술수로 편안하게 한몫 챙기고자 한, 그리고 결국은 아무 잘못 없는 한 가정을 파괴해버린 이 가정의 모습으로 하층민의 모습이 대변될 수 있나? ",20190715 10:27,1
15737296,161967,after,hisw****,그럼에도 계획을 세우게 만드는 영화 ,20190530 13:53,0
15742901,161967,after,red_****,"영화제는  충격을  좋아하는  것  같다.  재밌고  신선하긴  한데  설국열차  못지않게  가슴을  많이  짓누른다.  빈부격차에  대한  표현이 너무  우울하고,  극단적이라  불편했다. ",20190531 01:05,6
15741770,161967,after,purr****,영화 보고 나서 내가 기생충인가 생각했음. 재미보다는 씁쓸한 기분 ,20190530 23:27,8
15736078,161967,after,lh68****,뭔가 처음보는 선물 상자에서 생각지도 못한 멋진 물건들이 계속계속 짜잔 짜잔 하면서 나오는 느낌이랄까?그냥 미쳤다라는 말밖에 안나온다.꼭 보세요.미쳤다 진짜 와.. ,20190530 11:13,0
15736349,161967,after,sayo****,정말 충격적인 영화.... 정말 장르가 봉준호라는 말이 딱이다 ,20190530 11:50,0
15738372,161967,after,do02****,오묘한 영화... 19세 관람이여야할듯 ,20190530 16:20,0
15737453,161967,after,ttmy****,왜 상 받았는지 알 수 있는영화.  가볍게 오락성으로 볼만한 영화는 아닌듯합니다. ,20190530 14:12,0
15758281,161967,after,mhj7****,등급조정 진짜 필요해보임 ,20190602 09:10,6
15770732,161967,after,skya****,야한장면과 잔인한 장면이 많은데 어째서 19금이 아닌건가요?? 15금이란 사실에 놀랐습니다 ,20190604 21:32,2
15738810,161967,after,goha****,왜 칸느가 손을 들어줬는지 충분히 이해가 되는 영화. 작년 <어느가족> 보다 춸씬 메시지와 퀄리티 연출력이 출중하다. 봉준호 감독만이 펼칠수 있는 봉준호 감독만의 스타일이라 할수 있음. 반전도 좋고 특히 여운이 오래 남아서 가슴이 먹먹하다. 코믹굿 ,20190530 17:20,9
15747377,161967,after,0617****,똥구정물이 역류하는 변기 뚜껑 위로 눌러 앉아 담배를 찾아 피우는 박소담의 표정이 내내 잊혀지지 않음 ,20190531 18:53,0
15781331,161967,after,hee1****,"등급조정이 필요합니다.15세에게 마약, 욕, 약간의 19금, 흉기 넘 자극적입니다 ",20190606 21:28,8
