Rating ID,Movie Code,Rating Point Type,Writer ID,Report Title,Report Time,Rating
18921305,228053,after,dh47****,문재인입니다.... ,20230510 15:36,1
18930893,228053,after,cmg6****,뭘 잘했다고 영화씩이나? ,20230515 19:17,1
18931578,228053,after,pran****,이영화를 지금 벌써부터 개봉한 이유는 무엇일까 한심하다 ,20230516 02:05,1
18926430,228053,after,hlk9****,너무 이르지 않았나 싶다. ,20230513 12:00,1
18935473,228053,after,chos****,문재인 씨 지지자들은 좋아할 만한 영화. ,20230518 19:06,1
18924399,228053,after,arte****,악마를 보았다.그들은 사람이 아니다.악마다. ,20230512 05:23,0
18928299,228053,after,elxm****,정상적인 나라에서 비정상 적인 나라로 가는 걸 여실히 느끼게 해줌.. ,20230514 04:23,6
18943248,228053,after,kimd****,어휴.. 공백을 제외하고 10자등록 ,20230524 12:03,1
18928281,228053,after,xhaq****,이영화보면서 내내든 단 하나의생각 동네 주민들이 참 안타깝다 정치성향을떠나서 찬성파 반대파 몰려와서 맨날 시끄럽게 시위하고 진짜 정치 과몰입하는사람들이 이해가지않을뿐 왜 남에게 피해를줄까? ,20230514 03:51,5
19085234,228053,after,runa****,이런 거 극장에 걸지 말라고~ ,20230725 11:00,1
19412311,228053,after,tmax****,이걸 내가 왜봤을까 후회되네요 ,20231231 13:50,1
19388501,228053,after,qksr****,"하 결제 취소 못해서 5천원이나 주고 봄,,, ",20231221 15:24,2
19430967,228053,after,leeg****,23년 5월 13일 CGV 광교 with. 준성 ,20240112 16:18,2
19598613,228053,after,ryua****,정치인 찬양만하는 이런 영화인줄 모르고 극장 가서 봤다.. 정말 도망가고 싶었어. ,20240401 01:07,1
19484117,228053,after,shyl****,인상적인 몇몇 장면들이 생각납니다. ,20240211 10:50,8
19668799,228053,after,amon****,묵묵히 계속 눈물만 나더라 ,20240526 01:14,0
19657257,228053,after,hamh****,훠훠.... 문재인입니다 ,20240516 00:52,1
19612338,228053,after,chee****,문재인 대통령 님이 출연하셔서 본 영화 ,20240414 11:46,0
19457700,228053,after,52sm****,소음 공해로부터 자유로워 지시길 ,20240129 13:50,6
19198809,228053,after,capr****,정치 논리에 묻혀 진정한 평이 없는 다큐 ,20230918 11:50,6
19240182,228053,after,dlgy****,영화라기보다는 다큐같음 ,20231011 19:06,8
19416109,228053,after,jya9****,평범하고 아름다운 일상 ,20240102 03:21,0
19015932,228053,after,moon****,그냥 저렴하게 볼 기회가 있어서 봤습니다 ,20230618 11:09,6
19418918,228053,after,silh****,이야기가 재미있었어요 ,20240104 00:59,0
19261610,228053,after,shun****,몰랐던 부분까지 알 수 있어 좋았습니다. ,20231026 12:09,0
19312806,228053,after,best****,재미있게 감상하였습니다 ,20231123 00:40,8
19053992,228053,after,smil****,문재인입니다This is the President ,20230709 02:23,5
19448456,228053,after,yama****,문재인 그 자체를 보여주는 영화. ,20240125 10:54,0
19362567,228053,after,luna****,문재인 할아버지 평범한 이야기 ,20231209 02:33,8
19053993,228053,after,ki99****,문재인입니다This is the President ,20230709 02:23,5
19231269,228053,after,alde****,인간 문재인의 모습을 볼 수 있는 다큐. 소탈한 할아버지의 모습을 느낄 수 있었다. ,20231007 00:44,8
19116656,228053,after,smar****,그냥.. 강아지들 보는게 즐겁긴했어요 ,20230806 11:02,7
19157101,228053,after,eunb****,사람사는건 다 똑같으면서도 그렇지 않은듯 ,20230819 14:05,8
19122244,228053,after,loft****,포스터 속의 모습이 기억에 남았습니다. ,20230808 00:53,5
19162798,228053,after,late****,문재인의 일대기를 알수있었어요. ,20230821 16:35,8
19182285,228053,after,bout****,대통령님 행복하세요! ,20230904 22:46,9
19173252,228053,after,heyo****,그저 행복했습니다. 덕분에감사합니다. 덕분에부디 대통령님도 행복하게 지내시길 바라는 마음 뿐입니다. ,20230828 17:17,8
19136091,228053,after,tjdr****,별기대 안했는데 지루하지는 않고  그냥저냥 볼만했습니다. ,20230813 14:20,7
19054588,228053,after,choe****,인간 문재인을 좀 더 가까이에서 볼 수 있었어요. ,20230709 14:13,8
19100302,228053,after,mini****,영화 보면서 실제로 아는 사람의 반가운 얼굴이 나와서 좋았네요 ^^ ,20230731 16:25,9
19127178,228053,after,psha****,인상깊게 잘 봤습니다. ,20230810 00:16,0
19032434,228053,after,faii****,재미있게 관람했습니다 ,20230625 18:40,0
19069313,228053,after,semp****,"재밌으면서도 울컥하기도 하고,,, ",20230718 16:09,8
19082891,228053,after,ikin****,재미있어요 강츄강츄... ,20230724 00:08,0
19035336,228053,after,abel****,슬펐어요...ㅠㅠㅠ ,20230627 11:38,0
19033139,228053,after,ppin****,그리운 얼굴이네요.. 잘 봤습니다 ,20230625 23:41,0
19033173,228053,after,gouy****,문재입니다 영화 기분 좋게 잘 봤습니다 ,20230625 23:54,0
19062014,228053,after,ikin****,재미있어요 강츄강츄... ,20230714 03:41,0
18999758,228053,after,srnu****,여러 생각이 드는 영화입니다 ,20230609 21:43,0
18999716,228053,after,shaf****,재미있게 잘 봤습니다~ ,20230609 21:32,0
18999571,228053,after,bann****,자연이 예쁜 강쥐들이 예쁜 영화 ,20230609 19:45,8
19019116,228053,after,rafu****,덤덤하고 자연스러운 일상이었습니다 ,20230619 19:59,0
19010341,228053,after,yu90****,귀여운 문토리 잘봤습니다. ,20230615 16:39,8
18999772,228053,after,999s****,잘 보았지만 마음이 씁쓸합니다 ,20230609 21:47,0
19027363,228053,after,mina****,"재미있게 봤습니다. 대통령님, 여사님만 행복하시면 됩니다. ",20230623 11:25,0
19036610,228053,after,sn56****,보면서 생각이 많아졌다. 어떤 사람이 짊어졌던 무게와 책임에 대해서. 힘겹게 쌓아 온 무언가는.. 이렇게 한 순간에 무너질 수 있다는 것도. ,20230628 10:24,0
18997769,228053,after,dang****,영화 재밌게 잘 봤습니다 ,20230608 17:33,8
19005282,228053,after,hdj6****,좋은 영화 재밌게 봤어요. ,20230612 17:00,0
